GTVID,Latitude,Longitude,nearest_interstate,distance_to_interstate_mi
SFR001,37.269033,-121.956072,I- 280,3.2924215615900096
GHR001,36.088931,-79.927743,I- 73,0.7012679707477536
GHR001,36.088931,-79.927743,I- 840,0.7012679707477536
DFG458,33.0636757,-96.2295989,I- 30,3.16275005928714
SVG204,32.0563426,-81.0620328,I- 16,2.7248169558705313
CCG060,27.978897,-97.398171,I- 37,12.121533424272773
CAG381,35.265401,-81.479221,I- 85,6.848544155084497
SLG238,38.3690553,-90.3868563,I- 55,0.16750324037001169
KNG099,35.852619,-83.635635,I- 40,9.029598811233456
JNG028,40.026231,-78.447291,I- 70,1.0168519159459053
JNG028,40.026231,-78.447291,I- 76,1.0168519159459053
LRG226,35.606005,-91.25916,I- 555,39.232060603979754
HOG4A1,29.5331,-95.778071,I- 69,0.043970540729336496
MNE078,45.0647867,-93.4405322,I- 494,0.3724423982119362
MCW091,32.8500917,-83.4842449,I- 16,6.000959634175714
BGE005,37.1312015,-86.23380159999999,I- 65,6.272598325239106
MCE006,32.1061786,-83.0736616,I- 16,27.589758980481662
GVE043,34.9097187,-81.9830748,I- 26,0.40418253127933496
AGE019,33.4603901,-82.4992803,I- 20,3.5203940108122485
MWW229,43.07546037,-87.9670609,I- 43,2.329337608262367
MPW043,30.46512077,-88.11438273,I- 10,8.356678636755197
ATW711,33.8010737,-84.40737659999999,I- 75,0.11733108651210732
PDW073,36.2103384,-88.8235301,I- 155,30.553842811260942
RPW076,36.5761742,-77.9946301,I- 85,8.661644165806557
DTE441,42.441562,-83.3165147,I- 696,3.407818560315642
JVG346,30.088549,-81.94478,I- 295,13.831370193287212
ATW712,33.61153183,-84.16478074,I- 20,6.369039705043829
PDW074,36.27659482,-88.70932388,I- 69,31.061786662970686
WPE011,27.69018635,-80.41313518,I- 95,7.210231450694207
ROE002,43.21162899999999,-76.98258899999999,I- 90,17.311195403908805
SVG205,31.983273,-81.1700058,I- 516,4.156660122381793
NAE013,35.9329836,-86.49105109999999,I- 24,1.6061742865753394
CHE373,41.53930010000001,-87.2698576,I- 65,2.105411043582359
BIE119,33.61030029,-86.28058731,I- 20,0.25574449108246794
NAG244,35.8296417,-86.37570699999999,I- 24,1.6698565248998851
COG155,34.9756718,-84.9333984,I- 75,9.333725903709867
LXG151,38.084979,-84.48969799999999,I- 75,0.976523017873634
LXG151,38.084979,-84.48969799999999,I- 64,0.976523017873634
MDG158,42.6791,-89.003164,I- 39,0.9779164332233313
MDG158,42.6791,-89.003164,I- 90,0.9779164332233313
AUG257,29.8965154,-97.9105625,I- 35,0.059806613489807016
NYG396,40.6157618,-74.7698916,I- 78,2.4400939228518976
CTG061,33.8753959,-89.1771291,I- 22,37.284963316426044
