Activated Date,C - Sells Spirits,C - Sells Wine,R - CPG - Beverage - Beer - OOH,R - CPG - Beverage - Beer - Video,R - CPG - Beverage - Wine - OOH,R - CPG - Beverage - Wine - Video,R - CPG - CBD Hemp Ingestibles (Non-THC),R - CPG - Non Food/Beverage - Cannabis (Medical Use),R - CPG - Non Food/Beverage - Cannabis (Recreational Use),R - CPG - Non Food/Beverage - CBD Hemp (Non-THC),R - Automotive - Electric,Retailer - # of Contacts with Email,Contract End Date,Average Daily Impressions,City,County,County Designation,DMA ID - Salesforce,DMA Rank,GTVID,ID - Gbase,ID - TDLinx,Latitude,Longitude,Network,ZIP+4,Program,Retailer ID - Salesforce,Site Name,State,Status,Street,ID - Network Designated,DMA,DMA ID - Gbase,African American Index,African American Percentage,Asian Index,Asian Percentage,Average Household Income,Brand - C-Store,Brand - Fuel,Brand - Restaurant,C - EMV Enabled,C - NFC Enabled,C - Open 24 Hours,C - Sells Beer,C - Sells Diesel Fuel,C - Sells Lottery,C - Vistar Programmatic Enabled,C - Walk Up Enabled,Dispenser Count,Dispenser Make,Dispenser Model,Doing Business As,Female Index,Female Percentage,Hardware Type,Hispanic Index,Hispanic Percentage,ID - Brand,ID - Former GTVID,ID - Gilbarco Sales,ID - GVR,ID - Retailer,Male Index,Male Percentage,Median Age,Monthly Impressions,NFC Installed,NFC Type,R - Alcohol - Drink Responsibly Message,R - Alternative Transportation,R - Associations & NPO - Anti-Smoking,R - Automotive - After Market - Oil,R - CPG - Beverage - Spirits - OOH,R - CPG - Beverage - Spirits - Video,R - CPG - Non Food/Beverage - E-Cigarett,R - Entertainment - Casinos and Gambling,R - Government - Political,R - Recruitment,R - Restaurants - CDR,R - Restaurants - QSR,R - Retail - Automotive Service,R - Retail - Grocery,R - Retail - Grocery with Fuel,Retailer Account Manager,Screen Count,Site Phone Number,Retailer,Retailer ID - Gbase,Schedulable Site,Sellable Site,Unsellable,ID - Salesforce,ZIP,County FIPS,State FIPS,FIPS,Census Tract,Hardware Retrofit,Hardware Screen Ratio,Hardware Screen Class,TZ DST Offset,TZ Raw Offset,TZ ID,TZ Name,Address Quality,Legacy Site ID
,Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,,212.7857235,Caddo Mills,Hunt County,A,a15f400000FkAMBAA3,5,DFG458,5fa964f85b2476571b77d4a4,,33.0636757,-96.2295989,Gilbarco,75135-7452,Standard Applause,0015G00001VHZZaQAP,5fa964f85b2476571b77d4a4,TX,Awaiting Installation,2205 Highway 66,5fa964f85b2476571b77d4a4,Dallas-Ft. Worth TX,5654b4ba709e6e099c8a007d,24.18,3.05,8.97,0.5,87841,Undetermined,Undetermined,,Unknown,Unknown,No,Unknown,Unknown,Unknown,FALSE,Unknown,,,,,99.74952995,50.72758037,Flex Pay IV - 10.4 Inch,60.91,11.56,,,SG0202950,287050,,100.2591847,49.27241963,36.8,6473,Unknown,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laura Robertson,0,,Caddo USA Investments Inc,5fa95fa7077a7a37a218966f,TRUE,FALSE,FALSE,a0x5G000005rdLAQAY,75135,48231,48,4.8232E+14,48231961400,,,,3600,-21600,America/Chicago,Central Daylight Time,ROOFTOP,9999999
11/11/20,No,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,11/10/28,51.07782101,Savannah,Chatham County,C,a15f400000FkANQAA3,91,SVG204,5fa965a5e04a38d2a2826f32,1439800,32.0563426,-81.0620328,Gilbarco,31404-2653,Standard Applause,0015G00001VHZZzQAP,5fa965a5e04a38d2a2826f32,GA,Active,902 Pennsylvania Avenue,5fa965a5e04a38d2a2826f32,Savannah GA,5654b767709e6e099c8a00e0,542.63,68.43,20.56,1.15,58509,A1 Food Corner,El Cheapo,,Unknown,Unknown,No,Yes,Unknown,Yes,TRUE,Unknown,4,,,,106.0514899,53.9324394,Flex Pay IV - 10.4 Inch,13.18,2.5,,,206461,206461,,93.73795933,46.0675606,32.1,1554,Unknown,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Veronica Briones,8,,J&M Oil (Penn Ave Marathon),5fa95ffabe3a6b0a9e1626fe,TRUE,TRUE,FALSE,a0x5G000005rdLKQAY,31404,13051,13,1.3051E+14,13051003602,,,,3600,-18000,America/New_York,Eastern Daylight Time,ROOFTOP,9999999
11/11/20,No,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,5,11/10/25,243.9932886,Taft,San Patricio County,B,a15f400000FkAOWAA3,130,CCG060,5fa97143e2ecf8f7bcd00c2e,220334,27.978897,-97.398171,Gilbarco,78390,Standard Applause,001f400000pqqkpAAA,5fa97143e2ecf8f7bcd00c2e,TX,Active,302 US Highway 181,5fa97143e2ecf8f7bcd00c2e,Corpus Christi TX,5654b792709e6e099c8a0105,4.19,0.53,0,0,60411,Circle K,Valero,,Unknown,Yes,No,Yes,Unknown,Yes,TRUE,Unknown,3,,,,98.77401267,50.23148148,Flex Pay IV - 10.4 Inch,430.62,81.69,,,229884,229884,2740036,101.2686434,49.76851852,35.3,7422,Yes,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Laura Robertson,6,,Circle K Texas,5a148a18e026541000c3a910,TRUE,TRUE,FALSE,a0x5G000005rdOEQAY,78390,48409,48,4.8409E+14,48409010800,,,,3600,-21600,America/Chicago,Central Daylight Time,RANGE_INTERPOLATED,9999999
11/11/20,No,Yes,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,64,11/10/28,361.9899329,Shelby,Cleveland County,C,a15f400000FkAMSAA3,22,CAG381,5fa978b0e04a38c70c8285c0,192120,35.265401,-81.479221,Gilbarco,28152,Standard Applause,001f400000pqn4jAAA,5fa978b0e04a38c70c8285c0,NC,Active,2040 E Dixon Blvd,5fa978b0e04a38c70c8285c0,Charlotte NC,5654b4dc709e6e099c8a0099,161.43,20.36,9.6,0.54,58783,Scotchman,Exxon,,Unknown,Yes,No,Yes,Unknown,Yes,TRUE,Unknown,5,,,,102.1863981,51.9668486,Flex Pay IV - 10.4 Inch,24.08,4.57,,,SG1582418,161589,,97.73753015,48.0331514,38.4,11012,Unknown,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Veronica Briones,10,,"GPM Empire, LLC.",5774574304abbae413224cfe,TRUE,TRUE,FALSE,a0x5G000005rdPRQAY,28152,37045,37,3.7046E+14,37045950700,,,,3600,-18000,America/New_York,Eastern Daylight Time,RANGE_INTERPOLATED,9999999
11/11/20,Yes,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,11/10/28,600.1077441,Imperial,Jefferson County,A,a15f400000FkAMCAA3,23,SLG238,5fa97d336522224fe4f0cc8f,2072501,38.369512,-90.38617,Gilbarco,63052,Standard Applause,0015G00001VHZaTQAX,5fa97d336522224fe4f0cc8f,MO,Active,1200 Main St,5fa97d336522224fe4f0cc8f,St. Louis MO,5654b4dc709e6e099c8a0096,9.76,1.23,12.17,0.68,86623,Petro Mart,Phillips 66,,Unknown,Yes,No,Yes,Unknown,Yes,TRUE,Unknown,5,,,,97.12476738,49.3927585,Flex Pay IV - 10.4 Inch,14.73,2.79,,,SG0634787,254971,,102.9752712,50.6072415,35.3,18255,Yes,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mark Hesskamp,10,,"Quick Stuff (of Imperial, MO)",5fa960b1d81755563b43c1a8,TRUE,TRUE,FALSE,a0x5G000005rdQAQAY,63052,29099,29,2.90997E+14,29099700109,,,,3600,-21600,America/Chicago,Central Daylight Time,RANGE_INTERPOLATED,9999999
11/11/20,No,No,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,11/10/28,165.8310811,Sevierville,Sevier County,B,a15f400000FkAP8AAN,62,KNG099,5fa98d936522225e3bf0de22,1631146,35.852619,-83.635635,Gilbarco,37876,Standard Applause,001f400001UqWwYAAV,5fa98d936522225e3bf0de22,TN,Active,2093 Chapman Hwy,5fa98d936522225e3bf0de22,Knoxville TN,5654b737709e6e099c8a00c1,2.34,0.3,4.73,0.26,64924,Pk Food Mart,Shell,,Unknown,Yes,No,Yes,Unknown,Yes,TRUE,Unknown,5,,,,100.0198973,50.86507557,Flex Pay IV - 10.4 Inch,16.81,3.19,12780425,,SG1703658,207718,,99.97941042,49.13492443,40.9,5045,Yes,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Paula Sexton,10,,Shiv Parvati GP,5fa4c194be3a6b0f3c14fc0a,TRUE,TRUE,FALSE,a0x5G000005rdUWQAY,37876,47155,47,4.71551E+14,47155080400,,,,3600,-18000,America/New_York,Eastern Daylight Time,RANGE_INTERPOLATED,9999999
11/11/20,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,11/10/28,394.0180723,Everett,Bedford County,D,a15f400000FkAMLAA3,107,JNG028,5fa98e383a82ab9ea3b7d150,590700,40.026231,-78.447291,Gilbarco,15537,Standard Applause,001f400001JEIKsAAP,5fa98e383a82ab9ea3b7d150,PA,Active,10071 Lincoln Hwy,5fa98e383a82ab9ea3b7d150,Johnstown-Altoona PA,5654b771709e6e099c8a00ec,8.13,1.03,10.7,0.6,64579,Sac Shop,Shell,A&W,Unknown,Yes,Yes,No,Unknown,Yes,TRUE,Unknown,5,,,,101.6076671,51.67253521,Flex Pay IV - 10.4 Inch,8.43,1.6,10071579,,SG1664657,866506,,98.33639702,48.32746479,45.2,11986,Unknown,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Mark Hesskamp,10,8146232989,SAC Energy,5e4ead7d8ea4938181c3d906,TRUE,TRUE,FALSE,a0x5G000005rdUgQAI,15537,42009,42,4.201E+14,42009961000,,,,3600,-18000,America/New_York,Eastern Daylight Time,RANGE_INTERPOLATED,9999999
,Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,,98.73400673,Newport,Jackson County,D,a15f400000FkAN8AAN,59,LRG226,5fa990e5d8a7d768473aa6fb,,35.606005,-91.25916,Gilbarco,72112,Standard Applause,001f400000pqqClAAI,5fa990e5d8a7d768473aa6fb,AR,Awaiting Installation,1623 Malcolm,5fa990e5d8a7d768473aa6fb,Little Rock-Pine Bluff AR,5654b709709e6e099c8a00bc,137.45,17.33,1.49,0.08,47918,Undetermined,Undetermined,,Unknown,Unknown,No,Unknown,Unknown,Unknown,FALSE,Unknown,,,,,99.40773947,50.55376297,Flex Pay IV - 10.4 Inch,23.03,4.37,,,SG1664010,164229,,100.6128672,49.44623703,39.7,3003,Unknown,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Patrick Hamrick,0,,Jordan's Kwik Stop,59ebe45ea0f46f1000f8d0e8,TRUE,FALSE,FALSE,a0x5G000005rdVPQAY,72112,5067,5,5.06748E+13,5067480300,,,,3600,-21600,America/Chicago,Central Daylight Time,RANGE_INTERPOLATED,9999999
11/11/20,No,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,64,11/10/28,283.0582192,Rosenberg,Fort Bend County,A,a15f400000FkAMEAA3,8,HOG4A1,5fa992d5e04a38310882a550,1544389,29.5331,-95.778071,Gilbarco,77471,Standard Applause,001f400000pqn4jAAA,5fa992d5e04a38310882a550,TX,Active,26205 Southwest Fwy,5fa992d5e04a38310882a550,Houston TX,5654b4c5709e6e099c8a0082,95.35,12.02,104.93,5.86,68760,Star Stop,Shell,,Unknown,Yes,No,Yes,Unknown,Yes,TRUE,Unknown,6,,,,100.2633925,50.98890497,Flex Pay IV - 10.4 Inch,316.39,60.02,10005009,,SG1687503,192488,,99.7274432,49.01109503,31,8611,Unknown,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Veronica Briones,12,,"GPM Empire, LLC.",5774574304abbae413224cfe,TRUE,TRUE,FALSE,a0x5G000005rdVtQAI,77471,48157,48,4.81577E+14,48157675500,,,,3600,-21600,America/Chicago,Central Daylight Time,RANGE_INTERPOLATED,9999999
11/5/20,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,7,11/30/26,381.6763485,Plymouth,Hennepin County,A,a15f400000FkAMxAAN,14,MNW434,5fa99f7d88daf3399618f4ae,481068,45.0647867,-93.4405322,Wayne,55442,IOTV2,001f400000pqoouAAA,5fa99f7d88daf3399618f4ae,MN,Active,12650 County Highway 10,136890,Minneapolis-St. Paul MN,5654b4c5709e6e099c8a0087,25.32,3.19,48.55,2.71,146820,Holiday,Holiday,,No,Yes,No,No,Unknown,Yes,TRUE,Unknown,6,Wayne,Ovation2,Holiday 473,102.4176206,52.08443671,Wayne Integrated 10,19.58,3.71,473,,,,473,97.49826265,47.91556329,41.8,11611,Yes,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Laura Robertson,12,,Holiday Station Stores,59ebbae72d34cb1200cbdaf3,TRUE,TRUE,FALSE,a0x5G000005rdYnQAI,55442,27053,27,2.7053E+14,27053026508,,4:03,,3600,-21600,America/Chicago,Central Daylight Time,ROOFTOP,9999999
