dba,store_number,store_type,store_sub_type,store_name,address,address_line_2,city,region,state,zip_code,county,country,country_code,phone_number,fax_number,store_hours,cvs_pharmacy,cvs_pharmacy_phone_number,cvs_pharmacy_fax_number,cvs_pharmacy_hours,optical_phone_number,optical_hours,clinic_phone_number,clinic_hours,clinic,mobile_kiosk,mobile_kiosk_hours,fresh_grocery,starbucks,ulta_at_target,drive_up,store_pickup,open_date,grand_open_date,latitude,longitude,geo_accuracy
Target,2339,Store,General Merch,Wasilla,1801 E Parks Hwy,,Wasilla,Alaska,AK,99654,Matanuska-Susitna,United States,US,(907) 631-7200,,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(907) 631-7201,(907) 631-7201,"Wednesday:10:00:00-13:30:00,Thursday:10:00:00-13:30:00,Friday:10:00:00-13:30:00,Saturday:10:00:00-13:30:00,Sunday:11:00:00-13:30:00,Monday:10:00:00-13:30:00,Tuesday:10:00:00-13:30:00,",,,,,,,,,Starbucks,Ulta Beauty at Target,Drive Up,Store Pickup,10/8/2008,10/12/2008,61.577927664898986,-149.4027724117041,AGGDATA_VERIFIED: ROOFTOP
Target,2372,Store,General Merch,Anchorage South,150 W 100th Ave,Ste A,Anchorage,Alaska,AK,99515,Anchorage Municipality,United States,US,(907) 267-7500,,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(907) 349-1144,(907) 205-5182,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:10:00:00-13:30:00,Sunday:10:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,,,Starbucks,Ulta Beauty at Target,Drive Up,Store Pickup,10/7/2009,10/11/2009,61.130008,-149.881185,PREMISE: ROOFTOP
Target,2371,Store,General Merch,Anchorage Ne,1200 N Muldoon Rd,Ste F,Anchorage,Alaska,AK,99504,Anchorage Municipality,United States,US,(907) 269-2100,,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(907) 332-1004,(907) 205-5187,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:10:00:00-13:30:00,Sunday:11:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,,,Starbucks,,Drive Up,Store Pickup,10/8/2008,10/12/2008,61.226546,-149.746389,PREMISE: ROOFTOP
Target,2314,Store,General Merch,Richland,2941 Queensgate Dr,,Richland,Washington,WA,99352,Benton County,United States,US,(509) 627-7500,(509) 627-7508,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(509) 627-7501,(509) 627-7509,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",,Starbucks,,Drive Up,Store Pickup,10/10/2007,10/14/2007,46.2591074293942,-119.31325966492297,AGGDATA_VERIFIED: ROOFTOP
Target,830,Store,General Merch,Kennewick,1106 N Columbia Center Blvd,,Kennewick,Washington,WA,99336,Benton County,United States,US,(509) 735-7272,(509) 378-3652,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(509) 737-1700,(509) 378-3653,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,,,Drive Up,Store Pickup,10/7/1992,10/11/1992,46.22152684577097,-119.22133198007944,AGGDATA_VERIFIED: ROOFTOP
Target,2857,Store,General Merch,Spokane South,4915 S Regal St,,Spokane,Washington,WA,99223,Spokane County,United States,US,(509) 822-3274,(509) 822-3284,"Wednesday:07:00:00-23:00:00,thursday:07:00:00-23:00:00,friday:07:00:00-23:00:00,saturday:07:00:00-23:00:00,sunday:07:00:00-23:00:00,monday:07:00:00-23:00:00,tuesday:07:00:00-23:00:00,",CVS pharmacy,(509) 822-3275,(509) 822-3285,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,,Drive Up,Store Pickup,7/23/2014,7/27/2014,47.60930372282414,-117.36462371796166,AGGDATA_VERIFIED: ROOFTOP
Target,636,Store,General Merch,North Spokane,9770 N Newport Hwy,,Spokane,Washington,WA,99218,Spokane County,United States,US,(509) 466-3006,(509) 795-3187,"Wednesday:08:00:00-23:00:00,thursday:08:00:00-23:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-23:00:00,monday:08:00:00-23:00:00,tuesday:08:00:00-23:00:00,",CVS pharmacy,(509) 466-7226,(509) 795-3177,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,,Drive Up,Store Pickup,10/10/1990,10/14/1990,47.7476142,-117.3995295,AGGDATA_VERIFIED: ROOFTOP
Target,915,Store,General Merch,Spokane Valley,13724 E Sprague Ave,,Spokane,Washington,WA,99216,Spokane County,United States,US,(509) 924-8757,(509) 924-3642,"Wednesday:08:00:00-23:00:00,thursday:08:00:00-23:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-23:00:00,monday:08:00:00-23:00:00,tuesday:08:00:00-23:00:00,",,,,,,,,,,,,,Starbucks,,Drive Up,Store Pickup,7/20/1994,7/24/1994,47.6564576,-117.2205761,AGGDATA_VERIFIED: ROOFTOP
Target,760,Store,General Merch,Yakima,12 N Fair Ave,,Yakima,Washington,WA,98901,Yakima County,United States,US,(509) 248-3314,(509) 895-5556,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-22:00:00,saturday:08:00:00-22:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",,,,,,,,,,,,Fresh Grocery,,,Drive Up,Store Pickup,3/6/1996,3/10/1996,46.606016037538225,-120.49031557515265,AGGDATA_VERIFIED: ROOFTOP
Target,1064,Store,General Merch,Wenatchee,1102 Springwater Ave,,Wenatchee,Washington,WA,98801,Chelan,United States,US,(509) 664-5060,(509) 885-9677,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-22:00:00,saturday:08:00:00-22:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",,,,,,,,,,,,,,,Drive Up,Store Pickup,7/23/1997,7/27/1997,47.438076,-120.327795,AGGDATA_VERIFIED: ROOFTOP
Target,1444,Store,General Merch,Vancouver Mill Plain Blvd,16200 Se Mill Plain Blvd,,Vancouver,Washington,WA,98684,Clark County,United States,US,(360) 449-6420,(360) 553-3541,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(360) 449-6425,(360) 553-3540,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,,Drive Up,Store Pickup,7/24/2002,7/28/2002,45.61709783627844,-122.50589942559601,AGGDATA_VERIFIED: ROOFTOP
Target,1883,Store,General Merch,Vancouver Hazel Dell Ave,8801 Ne Hazel Dell Ave,,Vancouver,Washington,WA,98665,Clark County,United States,US,(360) 713-0004,(360) 553-3513,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(360) 713-0005,(360) 553-3514,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,Ulta Beauty at Target,Drive Up,Store Pickup,7/21/2004,7/25/2004,45.68581545419804,-122.66834758222105,AGGDATA_VERIFIED: ROOFTOP
Target,343,Store,General Merch,Vancouver Plaza Dr,7809c Ne Vancouver Plaza Dr,,Vancouver,Washington,WA,98662,Clark County,United States,US,(360) 253-4324,(360) 553-3559,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",,,,,,,,,,,"Thursday:11:00:00-19:00:00,Friday:11:00:00-19:00:00,Saturday:11:00:00-19:00:00,Sunday:11:00:00-19:00:00,Monday:11:00:00-19:00:00,",Fresh Grocery,Starbucks,Ulta Beauty at Target,Drive Up,Store Pickup,7/20/1988,7/24/1988,45.65113502927927,-122.59152911603452,AGGDATA_VERIFIED: ROOFTOP
Target,628,Store,General Merch,Kelso,205 Three Rivers Dr,,Kelso,Washington,WA,98626,Cowlitz County,United States,US,(360) 425-3926,(360) 355-3291,"Wednesday:08:00:00-22:00:00,thursday:08:00:00-22:00:00,friday:08:00:00-23:00:00,saturday:08:00:00-23:00:00,sunday:08:00:00-22:00:00,monday:08:00:00-22:00:00,tuesday:08:00:00-22:00:00,",CVS pharmacy,(360) 578-7387,(360) 355-3294,"Wednesday:09:00:00-13:30:00,Thursday:09:00:00-13:30:00,Friday:09:00:00-13:30:00,Saturday:09:00:00-13:30:00,Sunday:09:00:00-13:30:00,Monday:09:00:00-13:30:00,Tuesday:09:00:00-13:30:00,",,,,,,,,,Starbucks,,Drive Up,Store Pickup,7/25/1990,7/29/1990,46.14241808767357,-122.89906919002534,AGGDATA_VERIFIED: ROOFTOP
