feature,type,in_model_a,in_model_b
dma_rank,numeric,True,False
log_avg_household_income,numeric,True,True
log_min_distance_to_interstate_mi,numeric,True,True
log_min_distance_to_kroger_mi,numeric,True,True
log_min_distance_to_mcdonalds_mi,numeric,True,True
log_min_distance_to_nearest_site_mi,numeric,True,True
log_min_distance_to_target_mi,numeric,True,True
log_min_distance_to_walmart_mi,numeric,True,True
log_total_revenue,numeric,True,True
median_age,numeric,True,True
pct_african_american,numeric,True,False
pct_asian,numeric,True,False
pct_female,numeric,True,True
pct_hispanic,numeric,True,False
rs_NVIs_185_370,numeric,True,True
rs_NVIs_370_740,numeric,True,True
rs_NVIs_95_185,numeric,True,True
rs_Revenue_185_370,numeric,True,True
rs_Revenue_370_740,numeric,True,True
rs_Revenue_95_185,numeric,True,True
brand_c_store,categorical,True,True
brand_fuel,categorical,True,True
experience_type,categorical,True,True
hardware_type,categorical,True,True
network,categorical,True,True
program,categorical,True,True
retailer,categorical,True,False
c_emv_enabled_encoded,boolean,True,True
c_nfc_enabled_encoded,boolean,True,True
c_open_24_hours_encoded,boolean,True,True
c_sells_beer_encoded,boolean,True,True
c_sells_diesel_fuel_encoded,boolean,True,True
c_sells_lottery_encoded,boolean,True,True
c_sells_wine_encoded,boolean,True,True
c_vistar_programmatic_enabled_encoded,boolean,True,True
r_automotive_after_market_oil_encoded,boolean,True,True
r_automotive_electric_encoded,boolean,True,True
r_cpg_beverage_beer_oof_encoded,boolean,True,True
r_cpg_beverage_beer_vide_encoded,boolean,True,True
r_cpg_beverage_spirits_ooh_encoded,boolean,True,True
r_cpg_beverage_spirits_video_encoded,boolean,True,True
r_cpg_beverage_wine_oof_encoded,boolean,True,True
r_cpg_beverage_wine_video_encoded,boolean,True,True
r_cpg_cbd_hemp_ingestibles_non_thc_encoded,boolean,True,True
r_cpg_non_food_beverage_cannabis_medical_encoded,boolean,True,True
r_cpg_non_food_beverage_cannabis_recreational_encoded,boolean,True,True
r_cpg_non_food_beverage_cbd_hemp_non_thc_encoded,boolean,True,True
r_cpg_non_food_beverage_e_cigarette_encoded,boolean,True,True
r_entertainment_casinos_and_gambling_encoded,boolean,True,True
r_finance_credit_cards_encoded,boolean,True,True
r_government_political_encoded,boolean,True,True
r_recruitment_encoded,boolean,True,True
r_restaurants_cdr_encoded,boolean,True,True
r_restaurants_qsr_encoded,boolean,True,True
r_retail_automotive_service_encoded,boolean,True,True
r_retail_car_wash_encoded,boolean,True,True
r_retail_grocerty_with_fuel_encoded,boolean,True,True
r_retail_grocery_encoded,boolean,True,True
schedule_site_encoded,boolean,True,True
sellable_site_encoded,boolean,True,True
