gtvid,c_nfc_enabled
ABG002,Unknown
ABG008,Unknown
ABG013,Unknown
ABG016,Unknown
ABG017,Unknown
ABG019,Unknown
ABG020,Unknown
ABG021,Unknown
ABG022,Unknown
ABG023,Unknown
ABG024,Unknown
ABG025,Unknown
ABG028,Unknown
ABG030,Unknown
ABG031,Unknown
ABG033,Unknown
AGE003,Unknown
AGE004,Unknown
AGE011,Unknown
AGE012,Unknown
AGE014,Unknown
AGE015,Unknown
AGE018,Unknown
AGE022,Unknown
AGE023,Unknown
AGE027,Unknown
AGG068,Unknown
AGG096,Unknown
AGG098,Unknown
AGG111,Unknown
AGG113,Unknown
AGG114,Unknown
AGG115,Unknown
AGG116,Unknown
AGG127,Unknown
AGW087,Unknown
AGW091,Unknown
AGW100,Unknown
AGW103,Unknown
AGW107,Unknown
ALE001,Unknown
ALE002,Unknown
ALE004,Unknown
ALE009,Unknown
ALE018,Unknown
ALE019,Unknown
ALE022,Unknown
ALE023,Unknown
ALE026,Unknown
ALE027,Unknown
ALE031,Unknown
ALE034,Unknown
ALE041,Unknown
ALG010,Unknown
ALG011,Unknown
ALG013,Unknown
ALG017,Unknown
ALG038,Unknown
ALG049,Unknown
ALG055,Unknown
ALG064,Unknown
ALG069,Unknown
ALG070,Unknown
ALG072,Unknown
ALG076,Unknown
ALG080,Unknown
ALG083,Unknown
ALG085,Unknown
ALG086,Unknown
ALG088,Unknown
ALG089,Unknown
ALG091,Unknown
ALG092,Unknown
ALG093,Unknown
ALW027,Unknown
ALW028,Unknown
ALW031,Unknown
ALW059,Unknown
ALW068,Unknown
ALW069,Unknown
ALW085,Unknown
ALW088,Unknown
ALW089,Unknown
ALW093,Unknown
ALW098,Unknown
ALW104,Unknown
ALW105,Unknown
ALW107,Unknown
ALW110,Unknown
AME003,Unknown
AME004,Unknown
AMG001,Unknown
AMG003,Unknown
AMG006,Unknown
AMG015,Unknown
AMG016,Unknown
AMG018,Unknown
AMW030,Unknown
AMW031,Unknown
AMW032,Unknown
AMW034,Unknown
ANG003,Unknown
ANG025,Unknown
ANW011,Unknown
AQE004,Unknown
AQE007,Unknown
AQG032,Unknown
AQG079,Unknown
AQG128,Unknown
AQG135,Unknown
AQG149,Unknown
AQG150,Unknown
AQG151,Unknown
AQG152,Unknown
AQG154,Unknown
AQW053,Unknown
AQW056,Unknown
AQW057,Unknown
AQW059,Unknown
AQW061,Unknown
AQW062,Unknown
AQW063,Unknown
ASE007,Unknown
ASE011,Unknown
ASE012,Unknown
ASE030,Unknown
ASG049,Unknown
ASG062,Unknown
ASG063,Unknown
ASG077,Unknown
ASG079,Unknown
ASG087,Unknown
ASG095,Unknown
ASG106,Unknown
ASW028,Unknown
ASW072,Unknown
ASW073,Unknown
ASW076,Unknown
ASW077,Unknown
ASW078,Unknown
ASW079,Unknown
ATE022,Unknown
ATE024,Unknown
ATE087,Unknown
ATE089,Unknown
ATE094,Unknown
ATE104,Unknown
ATE109,Unknown
ATE169,Unknown
ATE223,Unknown
ATE281,Unknown
ATG043,Unknown
ATG121,Unknown
ATG199,Unknown
ATG202,Unknown
ATG203,Unknown
ATG219,Unknown
ATG220,Unknown
ATG263,Unknown
ATG305,Unknown
ATG3F1,Unknown
ATG40A,Unknown
ATG417,Unknown
ATG42B,Unknown
ATG44E,Unknown
ATG470,Unknown
ATG4E0,Unknown
ATG4F3,Unknown
ATG501,Unknown
ATG502,Unknown
ATG504,Unknown
ATG506,Unknown
ATG509,Unknown
ATG50A,Unknown
ATG50F,Unknown
ATG518,Unknown
ATG51B,Unknown
ATG522,Unknown
ATG539,Unknown
ATG547,Unknown
ATG54E,Unknown
ATG55A,Unknown
ATG575,Unknown
ATG576,Unknown
ATG58A,Unknown
ATG5A4,Unknown
ATG5AA,Unknown
ATG5BA,Unknown
ATG5BB,Unknown
ATG5D3,Unknown
ATG5DB,Unknown
ATG5DD,Unknown
ATG5E6,Unknown
ATG5E7,Unknown
ATG5E8,Unknown
ATG5ED,Unknown
ATG5EF,Unknown
ATG5F0,Unknown
ATG5F6,Unknown
ATG5F7,Unknown
ATG5FD,Unknown
ATG60B,Unknown
ATG619,Unknown
ATG61D,Unknown
ATG61E,Unknown
ATG626,Unknown
ATG62A,Unknown
ATG64A,Unknown
ATG65C,Unknown
ATG65D,Unknown
ATG65E,Unknown
ATG66D,Unknown
ATG67C,Unknown
ATG68A,Unknown
ATG68F,Unknown
ATG698,Unknown
ATG6A0,Unknown
ATG6AA,Unknown
ATG6B0,Unknown
ATG6BC,Unknown
ATG6D9,Unknown
ATG6DF,Unknown
ATG6F6,Unknown
ATG6F9,Unknown
ATG705,Unknown
ATG71E,Unknown
ATG735,Unknown
ATG74C,Unknown
ATG760,Unknown
ATG765,Unknown
ATG811,Unknown
ATG841,Unknown
ATG876,Unknown
ATG905,Unknown
ATG909,Unknown
ATG910,Unknown
ATG911,Unknown
ATG912,Unknown
ATG978,Unknown
ATG991,Unknown
ATW013,Unknown
ATW037,Unknown
ATW038,Unknown
ATW178,Unknown
ATW358,Unknown
ATW3EC,Unknown
ATW3FD,Unknown
ATW40C,Unknown
ATW40E,Unknown
ATW414,Unknown
ATW41F,Unknown
ATW42A,Unknown
ATW42B,Unknown
